prices,address,no_beds,baths,sqft
285000, 1705 Harliquin Run Austin TX 78758 ,3,2,1516
445000, 311 W 5th St UNIT 706 Austin TX 78701 ,1,1,960
699900, 2103 Fortview Rd Austin TX 78704 ,3,2,1645
450000, 13233 Briar Hollow Dr Austin TX 78729 ,4,3,2416
384500, 12125 Terraza Cir TH 62 Austin TX 78726 ,3,4,2183
1395000, 904 James St Austin TX 78704 ,3,4,1836
145000, 12166 Metric Blvd APT 137 Austin TX 78758 ,1,1,559
429999, 12509 Limerick Ave Austin TX 78727 ,3,2,1377
438000, 10713 Desert Willow Loop Austin TX 78748 ,4,4,2599
358990, The Jefferson Plan Pioneer Hill ,3,2,1512
2300000, 2508 Pecos St Austin TX 78703 ,5,5,4628
354990, The Quinn (S104) Plan Easton Park ,3,3,1942
399999, 3607 Oak Creek Dr Austin TX 78727 ,3,2,1654
420000, 1205 Showbox Austin TX 78660 ,3,3,1753
1895000, 617 Blanco St Austin TX 78703 ,4,4,2291
373000, 1202 Oak Shadows Cir Austin TX 78758 ,3,2,2382
1250000, 4505 Mountain Path Dr Austin TX 78759 ,4,3,2875
725000, 9503 Winding Oak Trl Austin TX 78750 ,4,2,2315
1180000, 2000 Arpdale St Austin TX 78704 ,3,3,1713
1150000, 3205 Locke Ln Austin TX 78704 ,4,3,2021
350000, 11808 Hartley Cv Austin TX 78748 ,4,3,1842
719900, 12304 Edwards Hollow Run Austin TX 78739 ,4,3,3161
449000, 40 N Interstate Highway 35 APT 6D4 Austin TX 78701 ,2,2,1360
460000, 9617 Solana Vista Loop #B Austin TX 78750 ,4,3,2283
230000, 6816 Doyal Dr Austin TX 78747 ,2,2,988
315000, 5800 Alomar Cv Del Valle TX 78617 ,4,3,2912
825000, 6805 Jester Wild Dr Austin TX 78750 ,4,4,2985
450000, 806 Northwestern Ave Austin TX 78702 ,1,1,440
299900, 11610 Pearwood Pl Austin TX 78758 ,2,2,1064
499000, 9006 Brimstone Ln Austin TX 78717 ,3,2,2051
315000, 11126 Seay St Austin TX 78754 ,4,2,2514
288990, The Irvine Plan Forest Bluff ,4,2,1796
499000, 8800 Frock Ct Austin TX 78748 ,4,2,2332
499900, 15633 Interlachen Dr Austin TX 78717 ,3,3,2716
625000, 4304 Andalusia Dr Austin TX 78759 ,3,2,1861
289900, 702 Wales Way Austin TX 78748 ,2,1,880
299000, 5328 Balcones Dr APT G Austin TX 78731 ,3,2,1200
550000, 181 Rock Vista Run Austin TX 78737 ,4,5,3558
300000, 5206 King Charles Dr Austin TX 78724 ,3,2,1618
