prices,address,no_beds,baths,sqft
5195000, 3808 Hayvenhurst Ave Encino CA 91436 ,5,7,7000
1599999, 8159 Laurelmont Dr Los Angeles CA 90046 ,3,2,1799
361000, 5460 White Oak Ave UNIT J107 Los Angeles CA 91316 ,2,2,990
599900, 1616 W 24th St Los Angeles CA 90007 ,3,2,1072
50000000, 609 E Channel Rd Santa Monica CA 90402 ,13,13,14000
65000000, 133 S Mapleton Dr Los Angeles CA 90024 ,9,14,30000
795000, 7135 Hollywood Blvd APT 1007 Los Angeles CA 90046 ,2,2,1148
4395000, 2555 Aberdeen Ave Los Angeles CA 90027 ,4,5,4047
11995000, 12012 Crest Ct Beverly Hills CA 90210 ,5,7,6165
3695000, 11166 Valley Spring Ln North Hollywood CA 91602 ,5,7,4960
399950, 11066 De Haven Ave Pacoima CA 91331 ,3,1,956
800000, 11942 Lorne St North Hollywood CA 91605 ,3,3,1357
1326000, 5126 Coringa Dr Los Angeles CA 90042 ,3,3,1826
1189000, 18345 Sandringham Ct Porter Ranch CA 91326 ,5,4,3810
1795000, 17747 Revello Dr Pacific Palisades CA 90272 ,2,2,1908
394900, 14200 Foothill Blvd UNIT 25 Los Angeles CA 91342 ,3,3,1126
12950000, 8517 Franklin Ave Los Angeles CA 90069 ,4,6,7640
549000, 2264 Fargo St Los Angeles CA 90039 ,2,1,672
2995000, 5064 Louise Ave Encino CA 91316 ,5,4,4273
720000, 12440 Erwin St North Hollywood CA 91606 ,2,1,1368
140000, 10965 Glenoaks Blvd SPACE 78 Pacoima CA 91331 ,3,2,1272
449000, 445 N Sierra Bonita Ave Los Angeles CA 90036 ,1,1,782
999000, 2209 N Gower St Los Angeles CA 90068 ,2,1,1081
624999, 10117 Sharp Ave Arleta CA 91331 ,4,3,1448
624990, 4365 Esmeralda St Los Angeles CA 90032 ,5,3,1250
679000, 12113 Via Santa Lucia Sylmar CA 91342 ,5,3,2336
320000, 12601 Van Nuys Blvd UNIT 228 Los Angeles CA 91331 ,3,2,886
2995000, 5242 Amestoy Ave Encino CA 91316 ,5,6,4479
3395000, 2729 Nichols Canyon Rd Los Angeles CA 90046 ,4,4,4978
