"size","gender","age","edu","wealth"
7,"1",5,"0","3"
9,"1",1,"0","3"
9,"2",21,"2","3"
9,"1",2,"0","3"
9,"2",20,"0","3"
7,"2",0,"0","3"
7,"2",78,"0","3"
8,"2",24,"1","3"
8,"2",2,"0","3"
8,"1",0,"0","3"
7,"2",22,"0","2"
7,"1",20,"2","2"
6,"2",70,"0","3"
6,"2",68,"0","2"
10,"2",22,"2","2"
10,"1",29,"0","2"
10,"1",3,"0","2"
10,"1",2,"0","2"
10,"2",0,"0","2"
8,"2",6,"0","3"
8,"1",1,"0","3"
8,"2",1,"0","3"
7,"2",26,"2","4"
7,"2",2,"0","4"
6,"2",70,"1","2"
9,"2",6,"0","5"
9,"1",29,"3","5"
9,"2",22,"2","5"
9,"1",3,"0","5"
9,"2",3,"0","2"
9,"2",0,"0","2"
9,"2",18,"2","2"
9,"1",15,"2","2"
8,"1",2,"0","4"
8,"1",19,"3","4"
8,"2",17,"2","4"
6,"1",95,"0","3"
9,"2",16,"2","2"
9,"1",9,"1","2"
9,"2",9,"1","2"
9,"1",84,"0","2"
6,"2",65,"0","2"
6,"2",19,"2","2"
6,"2",61,"0","3"
6,"1",1,"0","3"
6,"2",1,"0","4"
6,"1",0,"0","3"
8,"1",0,"0","2"
8,"1",56,"0","2"
8,"2",54,"0","2"
6,"1",3,"0","2"
6,"2",2,"0","3"
9,"1",63,"0","2"
9,"2",60,"0","2"
9,"2",19,"8","2"
9,"2",2,"0","2"
12,"1",14,"2","4"
12,"2",10,"1","4"
12,"2",30,"0","4"
12,"2",9,"1","4"
12,"2",6,"1","4"
12,"1",0,"0","4"
12,"1",18,"2","4"
7,"1",8,"1","2"
7,"1",5,"0","2"
8,"2",24,"2","4"
8,"1",4,"0","4"
8,"1",2,"0","4"
12,"2",4,"0","5"
12,"1",0,"0","5"
12,"1",33,"3","5"
12,"2",25,"3","5"
12,"2",5,"0","5"
12,"2",3,"0","5"
12,"1",1,"0","5"
6,"1",10,"1","1"
7,"1",2,"0","2"
7,"1",0,"0","2"
7,"2",8,"1","4"
7,"2",1,"0","4"
7,"1",24,"2","5"
7,"2",16,"2","5"
10,"2",23,"0","4"
10,"1",6,"1","4"
10,"2",18,"1","4"
10,"1",16,"2","4"
10,"2",13,"1","4"
7,"2",59,"0","2"
7,"1",21,"1","2"
7,"2",23,"2","4"
7,"2",6,"0","4"
9,"1",10,"1","4"
9,"2",7,"0","4"
9,"1",66,"1","4"
9,"2",66,"0","4"
7,"2",9,"1","4"
7,"1",4,"0","4"
10,"2",74,"0","4"
10,"1",34,"2","4"
10,"2",31,"2","4"
10,"1",8,"0","4"
10,"1",29,"2","4"
